source,outcode,sold_date,address,postcode,price,bedrooms,tenure,sale_class,lat,lng,ingest_ts
propertydata/sold-prices,SP7,2024-09-24,"102, Blackmore Road, SP7 8RL",SP7 8RL,205000,,freehold,old_stock,51.0125442,-2.182752,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-23,"The Willows, Wardour Lane, Donhead St Andrew, SP7 9EQ",SP7 9EQ,600000,,freehold,old_stock,51.0250151,-2.1168057,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-20,"5, Ivy Close, SP8 4UD",SP8 4UD,152000,1,freehold,old_stock,51.0400244,-2.288962,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-20,"Greenbanks, 6, Common Mead Lane, SP8 4RD",SP8 4RD,220000,,freehold,old_stock,51.0326645,-2.2881884,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-20,"2, The Bartons, SP7 8LN",SP7 8LN,165000,1,freehold,old_stock,51.0071686,-2.2047575,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-20,"8, Wincombe Lane, SP7 8PN",SP7 8PN,245000,3,freehold,old_stock,51.0100418,-2.1867187,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-20,"30a, St James Street, SP7 8HE",SP7 8HE,360000,,freehold,old_stock,51.0034374,-2.1988191,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-20,"1, Far View Road, Shrewton, SP3 4DQ",SP3 4DQ,162350,,freehold,old_stock,51.1981453,-1.8994165,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-20,"Ashbrook, Tisbury Road, Fovant, SP3 5JT",SP3 5JT,240000,,freehold,old_stock,51.059427,-1.9973543,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-19,"Corner Stones, Lower Street, Donhead St Andrew, SP7 9EE",SP7 9EE,760000,4,freehold,old_stock,51.0234809,-2.1197933,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-18,"Skatee House, Nett Road, Shrewton, SP3 4HB",SP3 4HB,4000,,freehold,old_stock,51.1928188,-1.8979747,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP3,2024-09-18,"Inverie, High Street, Hindon, SP3 6DJ",SP3 6DJ,547350,,freehold,old_stock,51.0958137,-2.1307932,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-17,"15, Iris Gardens, SP8 4QY",SP8 4QY,325000,3,freehold,old_stock,51.0363125,-2.28391,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP7,2024-09-17,"12, The Knapp, Enmore Green, SP7 8LT",SP7 8LT,315000,3,freehold,old_stock,51.0075979,-2.2086268,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-16,"2, Otter Springs, SP8 4GX",SP8 4GX,255000,,freehold,old_stock,51.0311974,-2.2621988,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-16,"38, Chaffinch Chase, SP8 4GT",SP8 4GT,377000,4,freehold,old_stock,51.031184,-2.2644741,2026-02-16T14:24:08.993Z
propertydata/sold-prices,SP8,2024-09-13,"Whedan Farm House, Buckhorn Weston, SP8 5JF",SP8 5JF,500000,,freehold,old_stock,51.0142132,-2.3503833,2026-02-16T14:24:08.993Z
