postcode,outcode,incode,admin_district,admin_county,admin_ward,region,country,latitude,longitude
SP8 4TD,SP8,4TD,Dorset,,Gillingham,South West,England,51.037696,-2.290826
SP8 4TE,SP8,4TE,Dorset,,Gillingham,South West,England,51.037864,-2.288345
SP8 4TF,SP8,4TF,Dorset,,Gillingham,South West,England,51.037493,-2.289555
SP8 4TG,SP8,4TG,Dorset,,Gillingham,South West,England,51.036232,-2.290132
SP8 4TP,SP8,4TP,Dorset,,Gillingham,South West,England,51.039657,-2.290795
SP8 4TQ,SP8,4TQ,Dorset,,Gillingham,South West,England,51.038212,-2.289531
SP8 4TR,SP8,4TR,Dorset,,Gillingham,South West,England,51.040856,-2.289291
SP8 4TU,SP8,4TU,Dorset,,Gillingham,South West,England,51.033784,-2.287549
SP8 4TW,SP8,4TW,Dorset,,Gillingham,South West,England,51.041198,-2.285641
SP8 4TX,SP8,4TX,Dorset,,Gillingham,South West,England,51.041138,-2.287952
SP8 4TY,SP8,4TY,Dorset,,Gillingham,South West,England,51.037405,-2.288442
SP8 4UB,SP8,4UB,Dorset,,Gillingham,South West,England,51.039719,-2.283807
SP8 4UD,SP8,4UD,Dorset,,Gillingham,South West,England,51.040048,-2.288829
SP8 4UE,SP8,4UE,Dorset,,Gillingham,South West,England,51.039683,-2.287415
SP8 4UF,SP8,4UF,Dorset,,Gillingham,South West,England,51.039187,-2.287968
SP8 4UG,SP8,4UG,Dorset,,Gillingham,South West,England,51.040168,-2.287732
SP8 4UW,SP8,4UW,Dorset,,Gillingham,South West,England,51.03959,-2.288627
SP8 4XB,SP8,4XB,Dorset,,Gillingham,South West,England,51.040449,-2.290286
SP8 4XD,SP8,4XD,Dorset,,Gillingham,South West,England,51.040771,-2.291102
SP8 4XE,SP8,4XE,Dorset,,Gillingham,South West,England,51.035836,-2.279347
SP8 4XH,SP8,4XH,Dorset,,Gillingham,South West,England,51.038075,-2.279261
SP8 5DP,SP8,5DP,Dorset,,Gillingham,South West,England,51.036775,-2.299605
SP8 5DR,SP8,5DR,Dorset,,Gillingham,South West,England,51.034604,-2.300932
SP8 5DS,SP8,5DS,Dorset,,Gillingham,South West,England,51.032921,-2.298111
SP8 5FH,SP8,5FH,Dorset,,Gillingham,South West,England,51.040292,-2.299271
SP8 5NH,SP8,5NH,Dorset,,Gillingham,South West,England,51.041476,-2.29674
SP8 5NJ,SP8,5NJ,Dorset,,Gillingham,South West,England,51.041214,-2.297366
SP8 5NL,SP8,5NL,Dorset,,Gillingham,South West,England,51.043463,-2.296995
SP8 5NS,SP8,5NS,Dorset,,Gillingham,South West,England,51.039495,-2.297897
