vendor,data_coverage,pricing_model,licensing_terms,sla,sstc_depth,api_availability,trial_available
"WhenFresh/PriceHubble","","","","","","",""
"TwentyEA","","","","","","",""
"REalyse","","","","","","",""
"Sprift","","","","","","",""
